vdo30odp,New Journey
5dw1qqlk,DuckTales 2
zd3vxl82,F-RNG
mkezme6k,Courses 11-20
vdo367od,Expert
824grmm2,All Cups
xd1m47d8,NG Good+ (Easy)
824rovgd,Any% No LSG
wk6jxlrd,100%
jdz3v0v2,Low% Normal
xd1r8o8k,Any%
8240oomd,Fox (Emu)
n2y66mdo,Cornell
jdr7o4l2,Gate Challenge
q258wpy2,Garden Ops
7dgn5wx2,Main Game
9d8vo6kn,Any%
02q9repk,100% (No CB)
9d863532,Core Luge
vdo0p9dp,UFO Ending
zd3lzoed,Boss Rush
zd36znvd,Extra Game
q25xlgwk,Puzzle Kombat (Any%)
xk9058vk,Any% (Advanced)
824rpggd,Ghost
jdro9q5d,GG%
wdmggxdq,All Treasures
q25x3zwk,Courses 61-70
xk9g86d0,100%
8246v8ed,Costumes
q253e58k,Magician
jdrvmen2,NG+ Weapon RTA
wk6wwwx2,Beat Bowser
7dg53l24,Any%
w20g5m5k,Easy
jdzwvzxd,Top Ride 100%
5dwezndg,"Bonus Circuit, max points"
n2y9zvmd,Flap (SC)
7dgr1llk,Quick Race
rkl9n0nk,256 Rounds
jdr8onk6,Race Time
824gzg25,Extra Flower Cup
9kvmg3kg,Chores & Credits
824x5nnd,Any% (JP)
z274wz20,Glitched
jdzrlx2v,100%
mkexvn9d,Special Mode
w20z7god,100%
n2yongmd,Klarrann
zdnxmxq2,Warpless
n2yjvz82,Greece%
zd3yjye2,Pro Circuit
rklywrdn,Any%
xk9nl6v2,Normal
zd3xwwvd,Darts%
9kvm7eek,3. Stunt Pilot
mkeo6vjd,Tournament
wkp5xwdr,Any%
vdol89dp,100%
7dg9p4gk,Match Race
mkezgjk6,Any% (MegaDrive)
wkp5y3jd,All Puppies (Legacy)
wdm4qr3d,Small Only
z27mv5g2,All Socks
xd14r58d,Minigames - Score
9d8xpg32,Zero Shot
vdopwv2p,6%
mke51nk6,Any%
9d8pnm6k,All Weapons Mode
zdnr58x2,Pirate Hideout
vdo45w92,Cheat%
rklgm4nd,"99 Rounds, Type A"
ndx4xw52,Individual Level Best Time (Blindfolded)
zdn8y3qd,Any%
vdoozydp,100%
zdnrpz72,Zombie Quests
xd1740zd,Arcade Mode (2 floors)
q257zl8d,Mario Party All Boards
z27lpogd,500 Stages
824x7z3d,Phil's Training (Easy)
02qg5nzd,Any% NG+
9d8vg7kn,Lightning Cup
5dwyy8ek,Prologue + Chapter 1 (NG)
jdrozond,Glitchless
9kvpgoek,"Any%, Warpless (JP)"
w20xp6v2,Unlock All Characters
zd3yeve2,Any%
pmkeq8k6,100%
jdz8vgdv,All Bosses
7dgv34d4,Max
xd1rwork,Wario Muscles
xd17lerd,Race (Console)
wdmze42q,Any%
n2y1e812,100%
9d8vvwwk,Any%
9d8pnz7k,DS Any%
wk6eywr2,Flap (Non-PRB)
7kj189xk,Max%
vdoo5ood,King League
9kvjpq3k,Veteran League
w20155kn,Any% No Reset Warps (JP)
jdz5lvdv,Air Ride All Tracks
zd3rvndn,Golden Axe
xk9l666k,Any% (SuperGrafx)
02qgo8yd,RCT1%
mkero09d,Ending 3
xk9ngxg2,3 Crowns
n2yoxoed,PC (3D) Any%
z278wok0,Any%
jdzprrgk,"Any% Princess Only, All-Stars"
ndx5jx1k,Unlock All Characters + Stages
jdz9xv2v,Special Cup
xd1r0wzk,0%
wkp3wzw2,1XX%
zd368rvd,Challenge Mode
q25q7v2o,Any% (No PW)
jdz7nwgk,Water temple
z27797o2,Individual Class Trials (NG+)
9d8vxn3k,Any% Luigi Only
jdrlx50d,Classic
9kvz93dg,100%
xd1j6xrd,Any%
zd36rryd,All Collectables
7dg9pzlk,Any%
xd130m7k,XFINITY Series
rkl5nq2n,Any%
wdmw0lo2,100%
9kvm4nek,100%
wdmzm32q,NG Good+ (Normal)
jdz9mrg2,Bowser%
q25ge98d,90 Minute Challenge
zd3y59v2,80 Dragons
xd1jlwzd,Shotgun Only
5dw99mg2,Air Revenge (X360/PS3)
jdrpx526,Special Cup
jdzvxgvk,River Survival
wdml46ok,Wonderswan
7dgmmn7d,All Giant Question Blocks
9kvynz8k,C Class
w20ve58k,Spike%
8240673d,Classic (Blindfolded)
z27gnrg2,No Starworld
q25gm4vd,Blindfolded PPW
xk9p6gxd,Glitchless
rkl3p4nk,No Major Glitches
jdzm8vkv,10 Missions
9d8p1qkn,Any%
z273vy0d,All Cups (New Game)
xd1w1828,Boss Rush
5dw9nnl2,Switchless
ndx03jdq,All Golden Tools
5dw6el02,Glitchless - Two Hole Check
8240133d,Skulls
jdrln0xd,Runback
jdzvwovk,Genesis / Megadrive
xk9gz66d,Stunt Trax PAL
z27o7e4d,Hard
mke5v6k6,Any%
jdz58gdv,Shell Cup
zdnqwlqd,Cheat%
rkljwywd,Beginner
xk9eggy2,Free Race
7kjzerxd,Arcade Level 2
z27l0lod,Arcade
jdzw7jxd,Acrophobia
xk9ll7vk,Any% (US)
zd3jjqv2,Lost at Sea Station
wdm55x52,Small Mario Only
wdmzz732,Single Levels: Difficulty Hard
rkllonkn,Any%
5dw5z0ld,Courses 21-30
ndxgnv2q,Genesis
jdz861rd,5 Hot Dogs%
ndxejg5k,Glitchless
9kv918j2,Solo +Pet +Consumables
7kjvv4k3,All Levels
9d8415qk,Chapter 1 Normal
02qgzp9d,Any%
ndxj4512,Any% Easy
824mewg2,Hard
vdool9dp,Time Attack
7kj75xk3,Prime
w20zm4vd,Hard
xk90404k,All Cups (Hard)
xk9wwey2,Poop Block %
wkp508vd,Any% (1p2c)
02qj33yd,Any%
rkljnynd,D Class
zd3x9rdn,Any%
n2ygn1e2,Any% Monotype
5dwplwnk,All Tracks
5dw66n2g,Time Attack
z27l45gd,0 Cages
vdooqodp,Any% All Stages Popkaless
7kjrz423,The Expotition
rklem5w2,All L.E.A.F. Quests
jdr9ey0d,Courses 71-80
z2773x42,Any% (PC)
9d834v72,NLE Cheat%
q25gnzyd,Time Attack
7kjv8mzk,Original
zd365vdn,Any%
wkp5rpvd,Monkey Race
z2763yod,Frog%
q25x93vk,Glitchless NG+
n2y1om82,Flashback 2
7dggr1pd,Claire A
rklq0n2n,120 Stars
7dgglz7d,Krazy Cup
7dggowxd,Retro Tracks
zd36x5vd,Climbing
02q8ngp2,Race
z27lplgd,Any%
vdo1992p,Any%
n2y1jm2o,Bumble-Buster
jdz3rog2,Mario Fireballs
vdoo63vd,Championship Monster Energy Series
zd3l6ovd,1 Player
q254r0yd,Champion Cup
02qvjxzd,1 Loop (Game B)
9d8q63dn,Any%
w20w0y5d,Championship Camping World Series
7dg66w4k,Time Attack
w20wqwzd,Knight League
9kv7qx0k,Background%
w20pg88k,Track Time
ndx9m0od,Rescue all POWs
xk98yv20,No Levels Early
824zymk5,Firebrand%
rklxmg8k,Full Race
7kjg4wzk,Any%
q25gz8do,Lightning Cup
n2ygy412,Any% No FC/CW/TS
xk9nv0x2,IM Fixed Seed
rklr3o6k,Meme Runs
jdz5orgd,PS
xd1rp34k,USA%
xd1v6zd8,Time Trial 1 lap
rkljyzqd,Race (PC)
02q48l9d,Beach Volleyball
q2531mvk,Forest temple
xk9ponvd,Arcade
7kjz4q3d,Race Mode
l9kv002g,All Levels
9d893l2n,Any%
jdr16mg2,Best Lap Challenge
5dw6z1n2,Course (PRB)
9d8xqq62,No Sequence Breaks
rklg9ndn,Any% No Major Glitches
mkelmxxd,Course (SC)
jdr1ww52,"Any% Toad Only, All-Stars"
zd3l8ydn,Any%
jdr7p1g2,Ending 2
7dg6l7xk,NG+
wdmw952q,Any% No Up+A
wkpo9g2r,100% No Up+A
9kvynokg,Any%
z277w742,Pro Supercross
rklr3xqk,Regular Game+
w20zvljd,Challenge Round
zd3ypy82,108 Best Badges
zd39ordn,Any% [PS1]
9d84q96k,Survival
zd3oe5yd,Flap (PRB)
wk6n38r2,Dwingvatt
rkl93z8k,Glitchless (US)
9d8pqzqk,Phil's Training (Advanced)
q254vzvd,100%
7kj153k3,101%
9kv9mv02,All Target Tests
n2y97edo,Festival Mode
xk98yny2,Golf: All Courses
rkljye8d,4%
z27m0o42,Konquest
zd3xzjyd,Solo Petless +Consumables
z27lgrgd,NG+ 100%
824j4lw2,Flower Cup
7kjr9nx2,Any% No W5
9d8g81lk,100%
5dw49qlk,Any%
w2081jdn,Any% Easy
xk9pgvd0,NG+
7dg9plpk,Fastest Time
5dwg39nk,Tournament Challenge
wkp9oj2r,Any%
zdnn51nd,Puzzle Kombat
mke5976k,Campaign 1
zd38l7vk,FF%
9kvpwr3k,Any%
mke9qexd,Fight Mini Bosses
7dg891p2,Any% Hard
